admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode, Total_pop 
Kohlu,PK71702,Kohlu,PK717,Balochistan,PK7,Pakistan,PK,98743.00
Kot Addu,PK62303,Muzaffargarh,PK623,Punjab,PK6,Pakistan,PK,1345941.00
Kot Diji,PK80905,Khairpur,PK809,Sindh,PK8,Pakistan,PK,348899.00
Kot Ghulam Muhammad,PK81203,Mirpur Khas,PK812,Sindh,PK8,Pakistan,PK,273193.00
Kot Momin,PK63202,Sargodha,PK632,Punjab,PK6,Pakistan,PK,453562.00
Kotli Sattian,PK63004,Rawalpindi,PK630,Punjab,PK6,Pakistan,PK,119312.00
Kotri,PK80601,Jamshoro,PK806,Sindh,PK8,Pakistan,PK,437561.00
Kulachi,PK20703,Dera Ismail Khan,PK207,Khyber Pakhtunkhwa,PK2,Pakistan,PK,101854.00
Kunri,PK82301,Umerkot,PK823,Sindh,PK8,Pakistan,PK,218493.00
Kut Mandai,PK72801,Sibi,PK728,Balochistan,PK7,Pakistan,PK,7587.00
Lachi,PK21102,Kohat,PK211,Khyber Pakhtunkhwa,PK2,Pakistan,PK,143538.00
Ladha,PK23802,South Waziristan,PK238,Khyber Pakhtunkhwa,PK2,Pakistan,PK,114830.00
Lahor,PK22101,Swabi,PK221,Khyber Pakhtunkhwa,PK2,Pakistan,PK,598136.00
Lahore Cantt,PK61701,Lahore,PK617,Punjab,PK6,Pakistan,PK,4334577.00
Lahore City,PK61702,Lahore,PK617,Punjab,PK6,Pakistan,PK,6791708.00
Lakhi,PK81703,Shikarpur,PK817,Sindh,PK8,Pakistan,PK,248143.00
Lakhra,PK71806,Las Bela,PK718,Balochistan,PK7,Pakistan,PK,35522.00
Lakki Marwat,PK21301,Lakki Marwat,PK213,Khyber Pakhtunkhwa,PK2,Pakistan,PK,579274.00
Landi Kotal,PK23303,Khyber,PK233,Khyber Pakhtunkhwa,PK2,Pakistan,PK,314569.00
Larkana,PK81003,Larkana,PK810,Sindh,PK8,Pakistan,PK,738069.00
Latifabad,PK80403,Hyderabad,PK804,Sindh,PK8,Pakistan,PK,672504.00
Layyah,PK61803,Layyah,PK618,Punjab,PK6,Pakistan,PK,977391.00
Lehri,PK73202,Lehri,PK732,Balochistan,PK7,Pakistan,PK,44427.00
Liaquatpur,PK62802,Rahim Yar Khan,PK628,Punjab,PK6,Pakistan,PK,1035509.00
Liari,PK71807,Las Bela,PK718,Balochistan,PK7,Pakistan,PK,11766.00
Lodhran,PK61903,Lodhran,PK619,Punjab,PK6,Pakistan,PK,704668.00
Loi Band,PK71604,Killa Saifullah,PK716,Balochistan,PK7,Pakistan,PK,28061.00
Loralai,PK71902,Loralai,PK719,Balochistan,PK7,Pakistan,PK,244400.00
Lower Kurram,PK23402,Kurram,PK234,Khyber Pakhtunkhwa,PK2,Pakistan,PK,136719.00
Lower Orakzai,PK23703,Orakzai,PK237,Khyber Pakhtunkhwa,PK2,Pakistan,PK,107397.00
Mach,PK71102,Kachhi,PK711,Balochistan,PK7,Pakistan,PK,125740.00
Mailsi,PK63602,Vehari,PK636,Punjab,PK6,Pakistan,PK,953895.00
Makin,PK23803,South Waziristan,PK238,Khyber Pakhtunkhwa,PK2,Pakistan,PK,58700.00
Malakwal,PK62001,Mandi Bahauddin,PK620,Punjab,PK6,Pakistan,PK,371869.00
Malir,PK80701,Karachi City,PK807,Sindh,PK8,Pakistan,PK,2008901.00
Mamund,PK23204,Bajaur,PK232,Khyber Pakhtunkhwa,PK2,Pakistan,PK,311873.00
Mand,PK71205,Kech,PK712,Balochistan,PK7,Pakistan,PK,50815.00
Mandi Bahauddin,PK62002,Mandi Bahauddin,PK620,Punjab,PK6,Pakistan,PK,668007.00
Manjhand,PK80604,Jamshoro,PK806,Sindh,PK8,Pakistan,PK,140840.00
Mankera,PK60404,Bhakkar,PK604,Punjab,PK6,Pakistan,PK,257100.00
Mansehra,PK21602,Mansehra,PK216,Khyber Pakhtunkhwa,PK2,Pakistan,PK,1017643.00
Mardan,PK21702,Mardan,PK217,Khyber Pakhtunkhwa,PK2,Pakistan,PK,1403394.00
Martung,PK22004,Shangla,PK220,Khyber Pakhtunkhwa,PK2,Pakistan,PK,36301.00
Mashkai,PK70103,Awaran,PK701,Balochistan,PK7,Pakistan,PK,32897.00
Mashkhel,PK72902,Washuk,PK729,Balochistan,PK7,Pakistan,PK,38657.00
Mastuj,PK20602,Chitral,PK206,Khyber Pakhtunkhwa,PK2,Pakistan,PK,169240.00
Mastung,PK72002,Mastung,PK720,Balochistan,PK7,Pakistan,PK,201693.00
Matiari,PK81102,Matiari,PK811,Sindh,PK8,Pakistan,PK,340677.00
Matli,PK80102,Badin,PK801,Sindh,PK8,Pakistan,PK,443412.00
Matta Khararai,PK22208,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK,232998.00
Matta Sebujni,PK22209,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK,232998.00
Mawand,PK71703,Kohlu,PK717,Balochistan,PK7,Pakistan,PK,41626.00
Mehar,PK80204,Dadu,PK802,Sindh,PK8,Pakistan,PK,460679.00
Mian Channu,PK61504,Khanewal,PK615,Punjab,PK6,Pakistan,PK,761971.00
Mianwali,PK62102,Mianwali,PK621,Punjab,PK6,Pakistan,PK,767130.00
Minchinabad,PK60205,Bahawalnagar,PK602,Punjab,PK6,Pakistan,PK,526428.00
Mir Ali,PK23605,North Waziristan,PK236,Khyber Pakhtunkhwa,PK2,Pakistan,PK,185525.00
Miran Shah,PK23606,North Waziristan,PK236,Khyber Pakhtunkhwa,PK2,Pakistan,PK,100680.00
Miro Khan,PK81502,Qambar Shahdadkot,PK815,Sindh,PK8,Pakistan,PK,427150.00
Mirpur Bathoro,PK82403,Sujawal,PK824,Sindh,PK8,Pakistan,PK,210959.00
Mirpur Khas,PK81204,Mirpur Khas,PK812,Sindh,PK8,Pakistan,PK,815956.00
Mirpur Mathelo,PK80304,Ghotki,PK803,Sindh,PK8,Pakistan,PK,327944.00
Mirpur Sakro,PK82206,Thatta,PK822,Sindh,PK8,Pakistan,PK,340834.00
Mirwah,PK80906,Khairpur,PK809,Sindh,PK8,Pakistan,PK,352491.00
Mithi,PK82103,Tharparkar,PK821,Sindh,PK8,Pakistan,PK,527558.00
